volcano_number,volcano_name,primary_volcano_type,last_eruption_year,country,region,subregion,latitude,longitude,elevation,tectonic_settings,evidence_category,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km,eruption_count,country-code
371020,Reykjanes,Crater rows,1831,Iceland,Iceland and Arctic Ocean,Iceland (southwestern),63.85,-22.566,140,Rift zone / Oceanic crust (< 15 km),Eruption Observed,13995,13995,15542,192922,14,352
345020,Rincon de la Vieja,Complex,2020,Costa Rica,México and Central America,Costa Rica,10.83,-85.324,1916,Subduction zone / Continental crust (>25 km),Eruption Observed,271,1428,78668,659105,31,188
264030,Rinjani,Stratovolcano,2016,Indonesia,Indonesia,Lesser Sunda Islands,-8.42,116.47,3726,Subduction zone / Continental crust (>25 km),Eruption Observed,10289,55594,1374441,3555330,20,360
344060,Rota,Stratovolcano,Unknown,Nicaragua,México and Central America,Nicaragua,12.55,-86.75,832,Subduction zone / Continental crust (>25 km),Evidence Credible,4930,16664,319797,3503709,0,558
390021,Royal Society Range,Pyroclastic cone,Unknown,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-78.25,163.33,3000,Intraplate / Continental crust (>25 km),Evidence Uncertain,0,0,0,0,0,10
241100,Ruapehu,Stratovolcano,2007,New Zealand,New Zealand to Fiji,New Zealand,-39.28,175.57,2797,Subduction zone / Continental crust (>25 km),Eruption Observed,14,298,6901,119709,61,554
290091,Rucharuyama [Golets-Tornyi Group],Pyroclastic cone,Unknown,Japan - administered by Russia,Kuril Islands,Kuril Islands,45.25,148.35,442,Subduction zone / Intermediate crust (15-25 km),Evidence Uncertain,1377,1724,2859,5368,0,0
351020,"Ruiz, Nevado del",Stratovolcano,2020,Colombia,South America,Colombia,4.892,-75.324,5279,Subduction zone / Continental crust (>25 km),Eruption Observed,3849,20146,507608,4252435,21,170
241130,Rumble III,Submarine,2008,New Zealand,New Zealand to Fiji,New Zealand,-35.745,178.478,-220,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,0,0,0,0,6,554
222166,Rungwe,Stratovolcano,1250,Tanzania,Africa and Red Sea,Africa (eastern),-9.135,33.668,2953,Rift zone / Continental crust (>25 km),Eruption Dated,644,20713,393819,2299914,1,0
290021,Ruruidake [Smirnov],Stratovolcano,Unknown,Japan - administered by Russia,Kuril Islands,Kuril Islands,44.454,146.139,1486,Subduction zone / Intermediate crust (15-25 km),Evidence Credible,0,108,903,16132,0,0
360010,Saba,Stratovolcano,1640,Netherlands,West Indies,West Indies,17.63,-63.23,887,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,1718,1718,1752,136185,1,528
354006,Sabancaya,Stratovolcano,2020,Peru,South America,Peru,-15.787,-71.857,5960,Subduction zone / Continental crust (>25 km),Eruption Observed,51,526,12678,1052517,12,604
355091,Sairecabur,Stratovolcano,Unknown,Chile-Bolivia,South America,"Northern Chile, Bolivia and Argentina",-22.72,-67.892,5971,Subduction zone / Continental crust (>25 km),Evidence Credible,21,69,1721,11172,0,0
263050,Salak,Stratovolcano,1938,Indonesia,Indonesia,Java,-6.72,106.73,2211,Subduction zone / Continental crust (>25 km),Eruption Observed,1367,80578,2675904,38154252,6,360
323200,Salton Buttes,Lave dome,210,United States,Canada and Western USA,USA (California),33.197,-115.616,-40,Rift zone / Continental crust (>25 km),Eruption Dated,227,408,38579,1214088,0,840
214050,Samsari Volcanic Center,Lave cone,Unknown,Georgia,Mediterranean and Western Asia,Western Asia,41.542,43.7,3290,Intraplate / Continental crust (>25 km),Evidence Uncertain,13210,13210,86563,1467499,0,268
341007,San Borja Volcanic Field,Pyroclastic cone,Unknown,Mexico,México and Central America,Mexico,28.5,-113.75,1360,Rift zone / Continental crust (>25 km),Evidence Credible,722,722,2558,45359,0,484
344020,San Cristobal,Stratovolcano,2019,Nicaragua,México and Central America,Nicaragua,12.702,-87.004,1745,Subduction zone / Continental crust (>25 km),Eruption Observed,208,7876,351227,2002579,35,558
353120,San Cristobal,Shield,Unknown,Ecuador,South America,Galapagos Islands,-0.88,-89.5,759,Rift zone / Oceanic crust (< 15 km),Evidence Credible,7661,7661,7723,16189,0,218
343001,San Diego,Volcanic field,Unknown,El Salvador-Guatemala,México and Central America,El Salvador and Honduras,14.27,-89.48,781,Subduction zone / Continental crust (>25 km),Evidence Credible,130144,130144,316296,7169826,0,0
329020,San Francisco Volcanic Field,Pyroclastic cone,1075,United States,Canada and Western USA,USA (Arizona),35.347,-111.678,3850,Rift zone / Continental crust (>25 km),Eruption Dated,23157,23157,70472,190983,1,840
357020,San Jose,Stratovolcano,1960,Chile-Argentina,South America,Central Chile and Argentina,-33.789,-69.895,6070,Subduction zone / Continental crust (>25 km),Eruption Observed,194,616,15963,6615248,9,0
341003,"San Luis, Isla",Tuff cone,Unknown,Mexico,México and Central America,Mexico,29.97,-114.4,180,Rift zone / Continental crust (>25 km),Evidence Credible,0,1,606,18532,0,484
